Sentiment,Tweet
-1,"imagine you are queer and get parts of your history destroyed and people like you were wiped out by the nazis, but then you have to hear from some fish biologist that none of this is true and that you are actually the bad guys who are close to the nazi ideology"
0,@GucciPiotrek That's how it always has to fight against the system 💪
0,@TaronKevin @AentschyR Even Horn would have been better than Chabot
0,"@Paddy_schmaedy @ScholzTomsen @Karl_Lauterbach Who do you blame for other suicides, for example out of existential fears or exclusion?"
0,#nowplaying #Izzisingt ~ Izzi sings | fries or ice cream ||| Radio TEDDY - In #Bremerhaven on 107.9
0,"@EvaHoegl Greetings back! Since just fitting in Austria a question. Barracks there have been made self-sufficient for some time in the event of a #blackout, a) to continue to fulfill the task of national defense and b) to be able to support BOS as a contact point. ➡️Bundeswehr? ⬇️ https://t.co/tzuhNlgx6E"
0,"A new protest scene is forming in Germany, experts are observing. Certain milieus mobilize for autumn. Is Berlin prepared? https://t.co/3lpAigXOQ7"
0,Adult Toph Beifong https://t.co/av7FaZepBL
1,"@KoenigRagnar Absolutely, Korne"
0,Journalistic due diligence also means protecting people from themselves.
0,@GabrielaMel5 @jujijuliar @_zeelias @GuiSchultzzz KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK I had a bad time krl
-1,"For the record, the reason for the suicide of this doctor - who was belligerent about politics 3 days ago - is not known. Nevertheless, connections are constructed by politicians that are also just conspiracy theories. #Lauterbach #DrLisaMariaKellermayr https://t.co/sdMqeB6ll0"
1,"As a reminder, you are valuable. You're good. You do not have to justify yourself. Let go of people who aren't good for you. Nobody has the right to deny you your feelings. It's okay not to be okay. You are strong. ~"
0,@grantelbarttt only laughed once today
0,ready for our cover? #subway #subwaysimulator #simulator #VAG https://t.co/zrMe8yICVz
0,VfL Wolfsburg has currently made three changes. #infotweet
0,Andrea Nahles is the first female head of the Federal Employment Agency. Here she tells why she doesn't see herself as a feminist - and how she feels the lack of skilled workers in her own life. (S+) https://t.co/Ay0ZnJYRg1
0,@kaenchen Kaffee There are apps for that ;).
-1,Dystopian mirage https://t.co/jMcZTzce98
0,@grossmanis That or gas stations. There is usually a faucet outside. Of course you can also buy something.
-1,"Minors in Berlin on the line: ""Why are you still out so late?"" In Schöneberg, 14-year-old boys look for suitors at night. The pimps: their fathers, uncles or cousins. On the way with the special unit of the Berlin police. #Human Trafficking https://t.co/Ksmywpok0u"
0,@drapzz45 lets go bro good luck
-1,"Now that I realize what my blind obedience, my ignorance and my agitation have done, I panic and resort to the useless protective claim: #Yourself excluded #SolidaritaetmitderWoelfin I know exactly: #I have participated https://t.co/pSh4ejmNxG"
1,@NowaboFM @DB_Bahn @Karl_Lauterbach Erich Milke would be proud of her.
1,@welt The man is very likeable to me.
0,@alorcxrine depends on partner
-1,"boy, that gets on my balls https://t.co/DaYH9kfc0k"
0,"current mood : ""fahri fahri fahri fahri"""
0,namjoons museum tour vlog🤍 #RMVlog https://t.co/XEv1RLhZkn
0,@Faynbtw Dikka you'll see
0,"@VaterWein Hmmm, of course that's stupid for you. How about a fly swatter? Just don't hit your stomach with it 😄"
-1,"@GeraldGrosz This drama needs to end. We have to get rid of the corrupt, traitorous government, including our pathetic Federal President. New elections are the order of the day. We must prevent Austria's economic decline by all means!"
0,"Unfortunately, I have never been interested in the psychology of cognition. I am very sorry. Could I possibly understand so many vague moments: swaggerers, fake news, cognitive persistence despite a changed reality. https://t.co/71NgK3FyOm"
0,"@stefanct @Nick_eQuality @i_am_fabs I have a bit of the feeling that it's being hushed up so as not to snub the msm community. I understand, but it would be fatal. I hope I'm wrong."
-1,"""Aha, so I'm a bad person because I eat meat and you're a good person because you're vegan?"" It. Goes. Not. Around. The. People. My goodness, it doesn't give a damn who is seen as a ""good"" or ""bad"" person as long as the animals are left alone."
0,@JohannesVarwick We can pack up if the submissive pacism demanded by you and your fellow letter-writers should be translated into political action.
0,@angels0uI Reine
0,"How morally depraved can one be? The Querschwurbler move to ""Moscow Moscow ...."" currently through Berlin. Less than 1500km further east, people are dying from the Russian war of aggression against #Ukraine. #b3007 https://t.co/RaFDLnhtJS"
0,"@JerioxB Ok, we have it in writing."
0,@jreichelt rumopfern has become left fashion.
0,Deposit for cans should cost 8 cents and you should get 25 cents back.
0,@Trobbbyyy Makes you want more
1,"@hyazinthsoul Well we're texting each other so that's fine and yes long hair is annoying, but I love the variety of hairstyles you can get"
0,"Finizio is the only company in Germany that is allowed to process human feces on test fields. At the shitty congress, people think bigger. https://t.co/S0hbdrEDDf"
0,This is daily reality. Also against me. What answers does the state have to this? https://t.co/EbIX2uQfZb
0,"Because of an alleged insult, a police officer in Berlin-Mitte pursued a cyclist and possibly deliberately hit him. https://t.co/y4xV6nFGA4"
1,@Itzz_TiMEX good luck master
0,The largest Ultra packed directly onto the thumbnail.... https://t.co/YXbjtLN0zv
0,Extra special… 😎
0,@LAZA_096 @Berkengaucho49 Double leadership would be a system if Salah no longer plays Liverpool. Or do you think Salah has a place in the system?
0,@wallplugnft Gm wallplug!!
0,⚠️ Attention ⚠️ Wasps also climb into drinking straws. My niece just got stabbed in the mouth.
0,"BTS × benny blanco× Snoop Dogg  ""Bad Decisions""   benny blanco tiktok 🔗https://t.co/9b2LxAvdKU  #BTSJIN #BTSJIMIN  #BTSV  #BTSJUNGKOOK #bennyblanco #SnoopDogg #BadDecisions https://t.co/aYtXzSNyW8"
1,@snow_maxx @ZentraleV I recommend the lectures by Michael Lüders on this topic
0,"@Francco71 @Arnd_Diringer Jo, and I actually meant ""not the engine driver"". Zugchef(in) is perhaps an older term. Regardless, it's okay."
-1,"@MartinHuberCSU In terms of area, it looks like this: Bavaria is by far the worst. So despite large areas, nothing is used #10H destroys everything. Where they are ahead is the area and of course the use of fossil energies. https://t.co/MAoOcWZtTU"
-1,I wish there was more space for mourning online. But the discursive counter-offensive is already underway. It's not nice to read what's coming next. 1. The death of Dr Lisa-Maria Kellermayr is celebrated as a victory. Her suicide is seen as an admission of guilt.
1,"@SMWillers Thanks! Yes, those were mega concerts 🙂"
-1,"It's short, but it still brought tears to my eyes. How I would like to be able to say goodbye to #Nessaja. Terence Hill and Bud Spencer accompanied me in my childhood. I loved the movies. This is a very emotional montage. https://t.co/vvWed0Tdvp"
0,"If today's generation thinks it's smarter than the one before it... 50 years ago, the car owner's manual told you how to adjust the valve clearance. Today there is a warning against drinking the contents of the car battery."
0,"I should be leaving right now, blockfest continues 😂 https://t.co/rWkvrEU2WT"
0,@BlackSmokingAce @BlackLupus30 Beweisfoto A https://t.co/W2mG1Ikaw7
0,"@Gman_1701 @shlomosapiens @NowaboFM typical, throwing out a statement and then not wanting to explain it, you happen to be a politician, would fit."
0,@MeisterPetz3 @Baumwollseil_de Mow yes.....just mow....😉 https://t.co/ErivVRYLXu
0,"SWIPE Right For More 👉  🌐 Website Link In Bio  ☑️ 2005 Mitsubishi Evo 9 GSR 💰£25,995  ☑️ 2008 Volkswagen Golf R32 4Motion DSG 💰£14,995  ☑️ 1997 Toyota Mk II JZX100 💰£24,995  ☑️ 2003 Volkswagen Golf R32 💰£14,995  ☑️ 1983 Toyota Starlet RWD KP61 1.… https://t.co/PilbpnHMTy https://t.co/n5iCvx24JE"
0,"Please remember this when the booth stays cold in autumn: It was the federal government under your respected chancellor @Bundeskanzler Olaf Scholz - and above all @MAStrackZi, @ABaerbock and Robert Habeck from @BMWK who killed #Nordstream2. Don't forget who's kidding you!!!"
0,@Dominik11000 Codeine
0,"@ArmutsnetzwerkD @ThoLaGra @zeitonline you don't. But the original tweet. That's what it was referring to, not you."
0,thoughup
0,@Stray_X79 @barb_weird @mcmaggi @DerRoysan @zitronen Kaffee That's right
0,King who has a €10 coin. https://t.co/y50XEVAHTH
0,@ilovebubies Simply gym live ticker
