Sentiment,Chloe,Tweet
-1,-1,"Impfgegner sind eine globale Bedrohung. Das ist keine neue Erkenntnis, das hat die WHO bereits im Januar 2019 offiziell erklärt. Wer aber im dritten Pandemie-Jahr immer noch denkt, die Lösung hieße 'Eigenverantwortung', hat weder Ahnung von Gesundheit noch Verantwortung."
0,-1,@groehler79 @sportschau Aber nicht die Uhrzeiten!
0,0,"Mona-Lisa: Enttäuschungen gehören zum Leben dazu, aber wenn sie zum Alltag werden, solltest du etwas ändern. https://t.co/jTKAT4U8Bm"
0,-1,@Ryouta7_ Degeulzsse
0,0,"""Wegen der hohen Inflation haben die Deutschen kaum noch Geld zum Sparen übrig."" - Die höchste Steuer- und Abgabenlast weltweit spielt dabei natürlich keine Rolle :-) https://t.co/kyNrGqRtyf"
0,0,"""Ich hab doch gar nichts gemacht"", wimmert ein junger Deutscher, der gerade sein alltägliches Zusammenleben aushandelt. https://t.co/JPZgp3MmrF"
0,-1,"@lino Nö, nicht wenn keiner dagegenhält."
0,0,@Raafey17 Rein da
0,0,@Alkolikyorumlar #Probably Trabzon 1 SİVASSPOR 3
0,1,"@n3ll41 Großen Respekt vor Ihren Fähigkeiten. Wie stellen Sie sicher, dass die, die bei Ihnen anfragen, auch tatsächlich die vorgegeben sind und wie, dass Klarname usw. für Strafanzeige genutzt wird und nicht anders?"
-1,0,Soldaten des #Bundesheers haben heute um 07.00 Uhr im Raum Deutschkreutz 10 Migranten aufgegriffen. Dabei hat 1 Migrant aus Afghanistan einer Soldatin mit der Faust ins Gesicht geschlagen. Sie wurde ins Spital gebracht; der Täter gefasst und angezeigt.
0,0,@JohnG_123 @patrickder_sozi Schweden.
-1,1,"@stephanweil @Markus_Soeder BRAVO, Herr Weil! Söder ist nicht nur ein ungehobelter, nicht zu sättigender Populist, er hat auch etwas parasitäres."
-1,-1,@ErekFN @neylufnbr was labberst du was für nh schnitt hast du jetzt eigentlich
-1,-1,"@LLZamecki Wenn o h mich mit geschöntennschulzeugnissen und erfundenen Diplomen rühmen würde,….ich würde mich schämen. Aber diese Dame rennt grinsend herum und denkt sich…die deppen Lieben mich ja wirklich!"
0,1,@popupanna Säem für Rübenkraut Puttes für Blutwurst Och härrm! für Ach du je! Dubbele Merssi für Vielen Dank
0,1,"Die Räder sind gepackt, die Akkus sind aufgeladen, die Sonne kommt raus. Das Mikroabenteuer Zelten für eine Nacht an der Ruhr kann losgehen. Danke an @lichtlauschen und https://t.co/M3gBpn77AZ für die Rettung 😊 https://t.co/wcxuEDebpP"
0,0,@linlinJT23 Mangerei
-1,-1,@MarcoBuschmann #CovidIsNotOver und Sie haben mit dem aktuellen #IfSG schon für mehr als genügend vermeidbares Leid gesorgt!  Sorgen Sie und @Karl_Lauterbach @spdbt @GrueneBundestag @fdpbt endlich für ein adäquates #IfSG!  #MaskenpflichtJetzt in Innenräumen inkl. Schulen + #RechtaufHomeoffice!
0,1,@Bramfelder_Jung Du hast so recht
0,0,@illyrenjunn RT GES RAMEINNNNN
0,0,RKGK~ #eimiko https://t.co/yPlSkPFLb5
0,0,@Lam3th Irgendwie muss ich jetzt an Leberwurst denken. Keine Ahnung warum 🤔
0,0,"@illBlissGoretti Oga Boss, uncle ike chukwu"
0,1,@sizinamklan also ich sag immer ich zocke mit gefühlen
0,0,kangen
0,0,"Es muss mal jemand sagen: Die allermeisten ""Morddrohungen"" über die Linke auf Twitter plärren, sind frei erfunden. Wenn sie echt oder auch nur glaubwürdig wären, würden sie damit zur Polizei gehen. ""Morddrohungen"" sind für Linke, was der Porsche für die Midlife-Crisis ist."
0,1,@nitaniti84 So sieht es aus. Mach dir ja nichts daraus. Solche Spinner muss man ignorieren.
0,0,"Mit Takero Itoi, jetzt der 2 Japaner, im Paradies. Nach Naoya Kikuchi, dieser 2007-2009 in 19 Liga-Spielen, für den FC Carl zeiss Jena auflief... #FCCWOB #DFBPokal #FCCVfLW"
0,1,69. Marchesano trifft mit seinem Linksschuss nur den Pfosten - Topchance zum Anschlusstreffer!  *2:0 | #SGFCZ #fcz #stadtclub #NieUsenandGah
0,0,jetzt helene aus pennsylvania #PopAroundTheClock
0,1,"@XSchwester Ich weiß, wie du dich fühlst. Auch wie es ist, wenn man gerade noch Spaß an einem Ausflug oä. hat und kurz später holen dich die Schmerzen ein. Ich hoffe, dass du die Zeit trotzdem etwas genießen kannst. 🫂"
0,0,#PlaneAlert ICAO: #3E1207 Tail: #DHYAH Flt: #CHX77 #Squawk: #0020 Aircraft:  2022/07/30 19:32:13  https://t.co/zk1UigRIJ2 https://t.co/SZ7h11QAxu
0,1,"Er ist ne 10, egal was ihr sagt ❤ https://t.co/M3qWmKiaoE"
0,1,namjoon in swiss vlog ♡ https://t.co/LxKVdmnwum
0,0,Lesen Sie The Pakistan News ▸  heutige Top-Stories dank @ntvde @tagesschau @VanDerKopftuch #lisamariakellermayr #österreich https://t.co/7jRlCsfJbd
0,1,IG fluke_natouch : 👐🏻  🔗 : https://t.co/wzZdsGN4k2  #เจ้าแก้มก้อน #fluke_natouch https://t.co/yALWienKi3
0,-1,"@UbermenschKNAX @ToastBrot42069 @FuchsHatKnax @zoe_tsk @placeb0325 @Jxzzmxn @Vin0_Nin0 @kbmzuleben @slimcigwh0re @_der_eric @sadboytxm @yuriabla @xini_23 @freezygoet @MawuMoody @ZuVielAlkk @ProblemMensch @HlfpLeon @franschisska @luhatdichlieb @alex_xkid Wow er hat mehr Follower als du! noch nicht Mal volljährig, beleidigt wie ein kleines Kind und geilt sich an Followern auf, das ist Mal ne starke Persönlichkeit. Der wird Mal was ganz großes Lagerhelfer oder so halt."
0,1,Parteipolitik beiseite. #Baerbock hat in der #Tuerkei Haltung gezeigt.
0,0,Die Fahrt 78959 der Linie RE 72 in Richtung Memmingen verspätet sich um 6 Minuten.
0,1,"@peachy_frogss Du wirst mich jetzt auslachen aber was ist ""Aufall""? xD"
0,-1,Ich mag Lakritze auch bin ich jetzt Weird👀 https://t.co/L4HZOdSm0h
0,0,@Lam3th Was hast du für einen Mokkaautomaten? Ich bin auf der Suche.
0,-1,@axelinorr @FlickzyV2 @neylufnbr Das kann ich leider nicht Vouchen
0,0,Erst so... https://t.co/rrGg5WTSP3
0,-1,"Guten Morgen! Wisst Ihr noch, als @janoschdahmen mit seiner menschenverachtenden – aber zum Glück völlig stümperhaft ausgearbeiteten – Impfpflicht gescheitert ist? Das war schön 🥲  #wirhabenausgegrenzt  #IchHabeMitgemacht https://t.co/NFTuiPyZFJ"
0,0,@MaxKapital @Renard67778593 @Karl_Lauterbach 😘 Sags mir ins Gesicht
0,0,@sysl0gic @RobertBoni6 Guck mal an der Fascho-Klappspaten nennt andere Nazis.🤣
-1,0,"Jede:r Landesminister ist mehr als beleidigt, wenn es von Berlin kluge Ratschläge zu ihren fachpolitischen Herausforderungen und Entscheidungen hagelt. Aber zu Außenpolitik hat natürlich jeder eine Meinung, die ohne interne Kontroverse nach außen posaunt werden kann. Klar."
0,0,@JSchmitzLeipzig Wo ist denn seiner geblieben?
0,-1,@GunMcGillough Esst ihr für mich mit? Bitte 🥺 Mitbewohner und K1 essen alleine. Bis ich dran bin ist alles kalt 😔
1,1,"@franklin1206 Danke, für dich auch 💚"
0,0,Kickers Offenbach - Fortuna Düsseldorf 1:3 71. Minute: Tor für Fortuna Düsseldorf durch Daniel Ginczek
0,1,Tag Podu Tag Podu 💃🕺🥁  Tag - #ThiruchitrambalamAudioLaunch  #Thiruchitrambalam #Vaathi @dhanushkraja https://t.co/ClgK43A6sC
0,0,"Hab mir ein Buch gekauft, weil es in der Bibliothek dauerhaft ausgeliehen war und ich es dringend brauchte. Hab jetzt gemerkt, dass ich die Person bin, die es ausgeliehen hat."
0,0,Your RB Leipzig #Supercup2022 XI! 📋  🔴⚪ #WeAreLeipzig #RBLFCB https://t.co/Pi0jVX6Gk7
0,0,NAMJOON VLOG 🤝 IG POST https://t.co/a0Y18MKJTY
-1,-1,@SHomburg Ich kann den Tagesspiegel trotzdem nicht ernst nehmen. Beispielsweise framen sie im Artikel die Auswirkungen des Tsunamis in Fukushima als Reaktorunfall. Das ist schlicht gelogen. Es war die Folge eines Erdbebens.
0,-1,@SenorOruga Nicht mehr lange
0,1,"Getrennt in den Farben Gemeinsam in der Sache   Für das Leben  Gibt es keine Rivalität  !! Wünsche das alles gut ausgeht.  Und wieder vollkommen gesund, wieder kicken kannst https://t.co/IITVg0pY5j"
0,0,@trtspor Renklilerle girsin 3.1 lik weghorst 😂
0,0,offizielle Ankündigung... https://t.co/GoIHsDmLd0
0,0,Atom-Wende kommt nicht voran - Die fünf peinlichsten Ausreden der Grünen https://t.co/qThkDvgTLB
0,0,"Aussenministerin @ABaerbock und Bundesregierung müssen sich entscheiden: Entweder sich für Menschenrechte einsetzen, oder libysche Rettungszone anerkennen - und damit systematischen Völkerrechtsbruch durch die sogenannte libysche Küstenwache im Auftrag der EU. https://t.co/6U2s6nbUrO"
0,0,@StrwbrryPancake Was machst du denn für Sachen???
0,-1,@BennoKlaudinger @rendiwagner @SPOE_at Das ist doch ein Unsinn !
1,1,Die große Mehrheit hat auf in der Menschheitsgeschichte einzigartigen Art und Weise ein Virus zuerst eingedämmt und dann durch solidarische Impfungen die Gefahr genommen. Dadurch wurden hunderttausende Menschenleben allein in Deutschland gerettet und darauf können wir stolz sein.
0,-1,"@YuriNoirProduc1 @die_Erhabene @Whereismymodel3 @ZGIDeutschland Ich bin immer an neuen Studien interessiert. Also, her damit. 😁🤣  PS. Aber schön damit Zeit lassen."
0,0,"Russland hat einen neuen Werbefilm für sich vorgestellt „Das ist Russland“, die Highlights: Günstiges Benzin Günstiger Strom und Wasser Keine Cancel Culture Eine Wirtschaft, die Tausende von Sanktionen standhält Zeit, nach Russland zu ziehen Zögern Sie nicht, der Winter kommt 🤣 https://t.co/UvUNQxjtjG"
0,-1,@LeScholzo du weißt nicht mal was ein Fascho ist.... 😄🙈
0,0,billie eilish. https://t.co/dBNDDc81Cx
0,0,@ganissatanica @kelingkingtempe Dukunggg
0,0,@chocookoo @cybfess Dhlh
0,0,@Karl_Lauterbach @MarcoBuschmann ernst für dieses Traumtänerzei einer pubertären FDP. 2
-1,-1,"@kunbrate1 Schade, dass der Transfer nicht funktioniert hat."
0,0,"@MrJonasDanner 13. Oktober 2021 erfolgte der offizielle Beitritt. Wer da an Zufälle glaubt, in Verbindung mit dem Corona Timing und dem Marketing Krieg, dem kann man nicht mehr helfen."
0,1,Interesse am Thema DFB ? - Deine Meinung ist uns wichtig.  #DFB
0,0,Experts in #lungcancer discuss IO patient cases . ⁦@drgandara⁩ ⁦@DrRoyHerbstYale⁩  ⁦@marinagarassino⁩  ⁦@ErminiaMassare1⁩⁦ @HosseinBorghaei⁩. Dr. Barbara Melosky. Dr. Daniel Morgensztern ⁦@gotoPER⁩  #ILCC @IASLC https://t.co/b5MPPYaNXJ
0,0,@VascodaGama ruf ruf
0,0,"Zur Einordnung . Wir haben vor einigen Tagen FB auf Bilder von "" der Stürmer"" durchsucht . In den Rechtsextremen Schwurbler Gruppen und auf Profilen wird ein Bild  tausendfach geteilt .  Im Moment haben wir 245 gerichtstauglich gesichert und Angezeigt . Wegen Wiederbetätigung."
0,0,"""In der Anklamer Südstadt wurde ein Kind von einem Hund gebissen. Die Polizei ermittelt und sucht jetzt Hund samt Halter."" https://t.co/lP1WjO7fTq"
-1,-1,Es ist erschreckend  -wie viele Menschen nichts von verschiedenen #Covid Varianten wissen -meinen sie wären nach einer Infektion immun oder das Immunsystem sei stärker -sagen wenn ich mich infiziere dann ist es eben so Völlig nebensächlich ist die Verantwortung gegenüber anderen
-1,0,"Wenn ich die Mainstreammedien online sehe, oder das TV, dann denke ich mir manchmal ein Blackout wäre doch nicht das Schlechteste."
-1,-1,"@MichaelBonvalot ""Hunderttausende Impftote und Millionen Impfschäden"". Jaja, immer derselbe Schas. 🤦‍♂️Wo sind die? Wie werden die versteckt? Wie genau werden die Angehörigen bestochen, unterdrückt oder daran gehindert das anzuklagen?"
0,-1,@welt Zuhören und Vorallem verstehen ist nicht die Stärke von @Die_Gruenen Politikern!
-1,0,"Ich muss das jetzt nochmal schreiben, weil es untergegangen ist:  Auf dem Kölner CSD sind Personen mit einer ""MAP-Flagge"" rumgelaufen. MAP bedeutet ""Minor-Attracted-People"". Das sind Pädophile."
0,0,@KriegerKt Was ist denn so der Tätigkeitsschwerpunkt als #Quereinsteiger ?
0,0,"@stohr_klaus @Karl_Lauterbach Bitte beleidigen Sie nicht mein orthographisches Gedächtnis.  Kommata und Punkte sind Teil davon.  Sie wollen ein Vorbild sein? Der Stöhr, sagt der Lauterbach, ist doof.  Der Stöhr sagt, der Lauterbach ist doof.  Kapiert? War erstmal kostenlos."
0,0,". @Karl_Lauterbach  Wie werden Sie mit den steigenden Energiekosten für Krankenhäuser und ggf. dem Mangel an Energieträgern (Gas) im Herbst/Winter umgehen? Wie hören nur, wie Sie immer wieder Geld für Impfstoffe ausgeben. (Gerne Retweet um Reichweite zu erhöhen)  @Tim_Roehn"
0,0,"Gast:""Wie kriegen Sie die Bohnen so...""  Kellnerin:""Butter""  G:""Ja, ich mach die auch rein, aber wie werden sie so...""  K:""Viel Butter...""  G:""Nee, also, wir machen da ja auch so 1 Stückchen Butter immer dazu, aber...""  An Stelle der K hätte ich da so was wie ""Koriander"" gesagt😬"
0,0,Essexville-Hampton Public Schools Hires New Superintendent https://t.co/DK95rXzpqY
0,0,Oh der Wind dreht sich und bläst von Ost. Jeder Norddeutscher weiß Ostwind ist hart und kalt. Er bläst gegen Lauterbach und gegen die Einrichtungsbezogene Impfpflicht.
0,0,"Wie wäre es, wenn sich die SPD in der Migrations- und Asylpolitik mehr an den dänischen und schwedischen Sozialdemokraten orientiert?"
0,0,Essexville-Hampton Public Schools Hires New Superintendent https://t.co/1ylksIt3Dc
0,0,#Garten Content : diese verschiedenen Blütenfarben kreiert mein alter Rosenstock. @heikerichta hatten wir darüber gesprochen? Er blüht jetzt zum 2. mal in diesem Jahr. https://t.co/so7TfvTCKG
0,0,@consertum SangSussi 😏 wieder
-1,0,"@CCcaprisonne Na solange die alle brav sind. Sonst gibt's von genügend Leuten, denen du wichtig bist, ganz viel Ärger 😘"
0,0,"@ThomasWalach @YveBiskupska Ah geh, da ist noch Luft nach oben."
0,0,@Vorzimmerdame2 Das streichen der Lohnfortzahlung hat bei uns viele zum Schuss genötigt.
0,0,"@LichtRonny Es ist ja ehrlicherweise viel mehr schief gelaufen, als nur das. Ist nicht so weit von mir und ich war mehrmals dort zum helfen. Was mir da berichtet wurde... Unter aller Kanone.  Wie gesagt... KATWARN und NINA haben wohl was gemeldet. Hat aber niemand wirklich für... ⏩"
-1,-1,"Es braut sich da draußen was zusammen. Ich mache mir große Sorgen um dieses Land und um das, was in der nächsten Zeit noch auf uns zukommt. Die Wortführer der Rechten und die Lauten unter ihnen zündeln derzeit sehr stark - und sie tun es so lange, bis es brennt."
-1,0,"„Ich verliere bei deutschen Intellektuellen, die sich für Weltmeister im Pazifismus halten, langsam die Beherrschung.  Ukrainer sind da fast verantwortlich für den Krieg, weil sie sich wehren. Und wer helfen will, wird  als Kriegtreiber beschimpft..“ me 👇🏽 https://t.co/pfy8r5wSZq"
0,-1,@jgaedertz @polizeiberlin Für einen Dr. hätte ich etwas mehr Geist erwartet.
0,1,Wir fiebern dem Finale entgegen! 😍 Morgen treffen die @DFB_Frauen auf England. Wir haben vor dem Turnierbeginn mit Bundestrainerin Martina Voss-Tecklenburg gesprochen. Hier gibt es das Interview noch mal zum Nachlesen: https://t.co/qE0LngzbuJ #hungriGER https://t.co/mBa5hkrsyh
-1,-1,@herrkrise Was machstn auch für nen Scheiß 😊
-1,-1,@Sunnyflower_fun @EpiloQX Kann es nicht mehr hören. Hab den jetzt geblockt. Der kam mir schon paar Mal so komisch. Toleriere langsam gar nichts mehr.
-1,-1,Nicht zu fassen! 🤬 https://t.co/hhe2uUT9kX
0,0,"Warum ist das nötig? #IchHabeMitgemacht #IchHabeAusgegrenzt. Weil: Eine funktionierende Presse nicht existiert. Bürger übernehmen die Aufgabe von Journalisten und machen sich an die Aufarbeitung der Pandemieexzesse. Und die Presse? Empört sich. Über die Aktion, nicht die Zitate."
1,1,"Bin einfach sprachlos… kann mich kaum bedanken wie krass dieser Stream war!!!! Vielen, vielen lieben Dank an jeden der dabei war🧡🧡🧡 #TwitchDE  #TwitchStreamers #twitch #hype #thanks #TwitchAffilate https://t.co/g4RQer1Qz8"
0,0,rkgk 452 https://t.co/TCmzZ2VUMa
0,0,Ich komm nicht weg
0,-1,PUHHHLEEAAASSEEEE😭 https://t.co/bHhOqWkDEi
1,1,@Palaeos1 überhaupt nicht! ❤️ meine die ganzen Querdenker-Arschlöcher. dich sehe ich immer gern in meiner TL und in meinen Benachrichtigungen 😄
0,0,@ImaFamiTest @msc1979 @guder_ben @J_Todenhoefer weil ich kein Deutscher bin Fascho https://t.co/61JRsYvCRb
0,0,Die Buzzer gibt es bei uns im Shop: https://t.co/4a5GMy822H https://t.co/i7gSj2OonQ
0,0,"In #Odessa warten die Menschen seit gestern darauf, dass die mit Getreide beladenen Schiffe endlich auslaufen können. Anne Brühl berichtet von vor Ort, wie die Menschen damit umgehen. ""Die Situation hier in Odessa ist insgesamt durchaus angespannt."" https://t.co/nKhbZWVHSa"
0,,Niemand:  Deutsche Marketingabteilung: https://t.co/0NyCeU75i9
0,0,Small beach in Mondstadt!☀🏖🌲 https://t.co/JULoJUuymi
0,0,@litemgear Und auch er schleppt nichts unnützes mit 😳 https://t.co/SH8SbFq2c9
0,0,[VIDEO] 220830 Chungha al Mik Festival   #청하 #CHUNGHA @CHUNGHA_MNHent  https://t.co/I5G58XPqP0
0,0,Ftd! Actor Nine is back 👮‍♂️🤩😍😭https://t.co/Fs2H6DL13i
0,0,@Route_60plus Jimmy Hoffa
1,1,Trans-Visibility und so :D War dieses Jahr auf meinen ersten zwei Pride Veranstaltungen und es war wunderbar.  Heute ist tatsächlich Pride im Stuttgart und Trans-Pride in Berlin yay 💚 kann nur zu beidem nicht hin.. zu weit weg.
0,0,OK scheint nur den YT Stream zu betreffen. Auf Twitch passt es.
1,1,@AutZeit Ich find es schön
0,0,"Angelino is absent from RB Leipzig's squad to face Bayern Munich tonight due to transfer talks.  Hoffenheim is, and will remain an option for him. The market offers him some alternatives to Leipzig. [@philipphinze24]  #TheGoalpostNews #RBL #TSG #RBLeipzig #Leipzig #Transfers https://t.co/ybQkP3e1T1"
0,0,n pfe ser
0,1,"@BinKeinEmo stark, versuch es diesmal durchzuziehen"
0,0,Lähmendes Entsetzen auf der Waldemar-Klein-Tribüne 😅 #OFCF95
0,0,"Das Weser-Stadion @werderbremen besitzt eine PV-Anlage,die aus insgesamt 200.000 Solarzellen besteht und bis zu 1 Mio kWh Strom p.a. erzeugt. Somit können aus der Stromproduktion ca. 300 Haushalte mit Strom versorgt werden. Dies entspricht einer Ersparnis von rund 400t CO2 pro Jahr https://t.co/k09Msn30o3"
0,0,@SawsanChebli @ghmaxi0 Da riecht man förmlich Eure Angst. #AfDwirkt. Gut so.
0,0,Konjunktur:  Warum eine kurze Rezession sinnvoll + gut ist   NUR SO WERDEN NEUE KRÄFTE FREI  und der alte Ballast abgeworfen  https://t.co/VtCL6Xo97w via @manager_magazin
0,0,Sila Seher is irreplaceble  #CancelDiziEmanet3
0,1,@DonBarbone Ja genau. Hat toll geklappt. 3d Drucker ist natürlich noch geiler
0,0,"@JDBisc @gerhard_mangott Wenn man die ständig wechselnde Gesetzgebung der Rada nicht verfolgt, dann weiß man vieles natürlich nicht.   Die Geschichte mir den Nazi-Tätowierungen würde ich als gestandener Szelensky Apopget nicht ansprechen - das Thema ist für die Ukr. Armee einfach nur peinlich"
0,0,@wizard_strange Ja aber die hatten wir ja so oder so. Jetzt bekommen wir das Geld der zweiten Runde
0,0,@Karl_Lauterbach @KSTA Nicht ärgern lassen
0,-1,"@Karl_Lauterbach Gibt es dazu unabhängige Quellen. Studien, Untersuchungen?  Daten sammeln und auswerten!  Warum wird das nicht anständig gemacht und kommuniziert?"
1,1,@Luuk_Kru Ach komm. Ich helf. 🤝
0,0,@fortovvv @Rytmic001 @Mevvez nociarz
0,0,"@a_nnaschneider Der ÖRR ist zur Ausgewogenheit verpflichtet, um Meinungspluralität zu erzeugen. Geboten ist insofern stets eine unabhängige, sachliche und überparteiliche Berichterstattung. Die vermittelten Informationen müssen aktuell, nachhaltig, abgesichert und glaubwürdig sein.(§ 10) #WDR"
0,0,@Karl_Lauterbach Die Lage der Nation… https://t.co/yJUTzXWfDJ
0,1,@ein_fachnurtim @Jona223_ Ich finde auch! òwó
1,1,"Guten Morgen, heute ist der Internationale #TagDerFreundschaft! Wie wäre es, mit euren Freunden diesen Tag mit einem Film aus der Kollektion über #Freundschaft von @filmfriendVOD zu zelebrieren? Alle Filme sind mit Bibliothekskarte kostenlos! 🫂 https://t.co/nXeGwII5HU https://t.co/ijYrL8iXRr"
0,0,@stockmum @BjBe2000 Muß man doch bei Protestanten und Katholiken auch.
-1,0,"@erna_unplugged Fühle ich sehr. Mit allem. Man bekommt nur noch (oft rotzig) gezeigt, was man alles falsch macht. Ich schalte inzwischen massig Begriffe und Accounts stumm, weil es anders. Ich auszuhalten ist. Habe auch gelernt, auf die harte Tour, dass ich mehr so schnell neuen Leuten folge."
0,0,Schluss in Regensburg. Wir scheiden aus dem DFB-Pokal aus.  ___ 🤸‍♂️ 6:5 🐐 (120.) #SSVKOE #effzeh https://t.co/AHcYlVtGUp
0,0,"@KaWillms Da wir hier auf Social Media dein Kundenkonto aus Datenschutzgründen nicht einsehen können, können wir dir hier leider nichts zum aktuellen Bearbeitungsstand deines Anliegens sagen. -Angi"
-1,0,"⚠️MAXIMALES TEILEN⚠️ Bisher war es #Putin-Troll-Propaganda - jetzt gibt die ""#WELT"" zu, dass Ukrainer aus zivilen Gebäuden wie Schulen schießen  Damit machen die Ukrainer zivile Einrichtungen zu militärischen Zielen, wobei es sich um ein Kriegsverbrechen handelt. https://t.co/aXZNI6SDcF"
0,0,@prv_simon fühle das gar nicht und mehrer Kollegen haben das schon probiert aber hat nix gebracht
0,0,"@jurisdictio84 Kommt er wieder zruck, der @MitterlehnerR ? 😃"
0,0,Sich der Faszination des Augenblicks überlassen https://t.co/zzaAeugzCx
0,0,Wär das nicht auch was für innsbruck @ThomasMuellerAT https://t.co/jFjdotebHQ
0,0,🚨#Gewinnspiel - Gewinnt einen #Xbox Mini-Kühlschrank!🥶❄️  1.) Folgt @xboxdynasty auf Twitter☑️ 2.) Like und RT diesen Tweet💙🔁 3.) Antwortet und @-markiert eine(n) Freund(in)👀  ⚠️Weitere Gewinnchancen +Teilnahmebedingungen: https://t.co/KDwvQSwS4H  #XboxMiniFridge #Giveaway https://t.co/5h324cwVsi
0,0,"Als Beispiel nannte die Grünen-Politikerin das Transportfahrzeug Fuchs, den Schützenpanzer Marder und Luftabwehrsysteme zum Schutz der Städte"
0,0,@MjooTheGambian 😬 versehen
0,0,Wie zufrieden seid ihr mit der Drogenpolitik der Ampel bisher?
0,0,"Das Lend-Lease-Programm würde vorsehen, dass Washington ohne bürokratische Hürden und im großen Stil Waffen und militärische Ausrüstung an #Taiwan ""verleihen oder leasen"" könnte, die dann erst später abbezahlt werden...in diesem Fall über einen Zeitraum von 12 Jahren. (14/20) https://t.co/Ea3qXVyPnO"
0,0,@friedhelm_mosel So darf es weitergehen. Jeden Tag ein paar orcs entsorgen vertreibt Kummer und Sorgen
0,0,@Baki_Hanma_123 Kööööööln
0,1,Man kann es nicht genug teilen !!!  https://t.co/dOzorPUM2t
